,Variable 1,Variable 2,Chi-square,P-value
0,Race,Marital Status,137.6499123673096,7.308895868144508e-26
1,Race,T Stage ,8.309501478942032,0.2162939504200522
2,Race,N Stage,6.2150139060325245,0.1836560270124146
3,Race,6th Stage,8.923982803986249,0.3487492494475867
4,Race,differentiate,27.855376851181195,0.00010004179656280609
5,Race,Grade,27.855376851181195,0.00010004179656280609
6,Race,A Stage,0.30355988938903344,0.8591773264691434
7,Race,Estrogen Status,13.335971010855927,0.0012709565088359642
8,Race,Progesterone Status,4.9823955064955685,0.08281072034154785
9,Race,Status,27.99252486135466,8.346424305665017e-07
10,Marital Status,Race,137.6499123673096,7.308895868144508e-26
11,Marital Status,T Stage ,17.496399461691453,0.13185901761198127
12,Marital Status,N Stage,22.71366790590067,0.003751987336945533
13,Marital Status,6th Stage,28.533825475581395,0.02727576908266858
14,Marital Status,differentiate,19.112767908186072,0.08584313223620334
15,Marital Status,Grade,19.112767908186076,0.08584313223620314
16,Marital Status,A Stage,7.64964549909539,0.10528874493350836
17,Marital Status,Estrogen Status,7.647598557084809,0.10537420270955086
18,Marital Status,Progesterone Status,10.996050692576919,0.02660843499410895
19,Marital Status,Status,28.47254361016853,1.0003326033050229e-05
20,T Stage ,Race,8.309501478942032,0.2162939504200522
21,T Stage ,Marital Status,17.496399461691453,0.13185901761198127
22,T Stage ,N Stage,321.1693531571465,2.3699984821295393e-66
23,T Stage ,6th Stage,6758.5005768810015,0.0
24,T Stage ,differentiate,91.92120707452506,6.696784797709166e-16
25,T Stage ,Grade,91.92120707452506,6.696784797709166e-16
26,T Stage ,A Stage,588.8435036767575,2.6420041670312733e-127
27,T Stage ,Estrogen Status,19.987000948446806,0.0001707986044446413
28,T Stage ,Progesterone Status,14.357154454278477,0.0024571958945877087
29,T Stage ,Status,104.2687171934308,1.8769799757802452e-22
30,N Stage,Race,6.2150139060325245,0.1836560270124146
31,N Stage,Marital Status,22.713667905900675,0.0037519873369455253
32,N Stage,T Stage ,321.1693531571465,2.3699984821295393e-66
33,N Stage,6th Stage,6680.736947382208,0.0
34,N Stage,differentiate,115.08446926628754,1.7529128328469467e-22
35,N Stage,Grade,115.08446926628754,1.7529128328469467e-22
36,N Stage,A Stage,355.9924188556011,4.979989714808862e-78
37,N Stage,Estrogen Status,42.748359393147936,5.215689181260114e-10
38,N Stage,Progesterone Status,37.16282400813628,8.515208779831698e-09
39,N Stage,Status,267.7109594969028,7.367222269401554e-59
40,6th Stage,Race,8.923982803986249,0.3487492494475867
41,6th Stage,Marital Status,28.53382547558139,0.02727576908266853
42,6th Stage,T Stage ,6758.5005768810015,0.0
43,6th Stage,N Stage,6680.736947382207,0.0
44,6th Stage,differentiate,157.81474442811026,1.4635709241695874e-27
45,6th Stage,Grade,157.81474442811026,1.4635709241695874e-27
46,6th Stage,A Stage,734.9442274472714,9.446988401896402e-158
47,6th Stage,Estrogen Status,52.53833861605162,1.0644288418360429e-10
48,6th Stage,Progesterone Status,42.945756970070455,1.0619548846101577e-08
49,6th Stage,Status,279.8286637060895,2.426235220111066e-59
50,differentiate,Race,27.85537685118119,0.0001000417965628063
51,differentiate,Marital Status,19.112767908186072,0.08584313223620334
52,differentiate,T Stage ,91.92120707452506,6.696784797709166e-16
53,differentiate,N Stage,115.08446926628753,1.7529128328469592e-22
54,differentiate,6th Stage,157.81474442811026,1.4635709241695874e-27
55,differentiate,Grade,12057.0,0.0
56,differentiate,A Stage,10.56250707584562,0.014342815796304626
57,differentiate,Estrogen Status,217.26278716523433,7.841574189425256e-47
58,differentiate,Progesterone Status,147.64315612219517,8.494834488444462e-32
59,differentiate,Status,111.26296611390619,5.8684211376166735e-24
60,Grade,Race,27.855376851181195,0.00010004179656280609
61,Grade,Marital Status,19.112767908186072,0.08584313223620334
62,Grade,T Stage ,91.92120707452506,6.696784797709166e-16
63,Grade,N Stage,115.08446926628753,1.7529128328469592e-22
64,Grade,6th Stage,157.81474442811026,1.4635709241695874e-27
65,Grade,differentiate,12057.0,0.0
66,Grade,A Stage,10.56250707584562,0.014342815796304626
67,Grade,Estrogen Status,217.26278716523433,7.841574189425256e-47
68,Grade,Progesterone Status,147.64315612219517,8.494834488444462e-32
69,Grade,Status,111.26296611390619,5.8684211376166735e-24
70,A Stage,Race,0.30355988938903344,0.8591773264691434
71,A Stage,Marital Status,7.649645499095391,0.10528874493350839
72,A Stage,T Stage ,588.8435036767575,2.6420041670312733e-127
73,A Stage,N Stage,355.9924188556011,4.979989714808862e-78
74,A Stage,6th Stage,734.9442274472713,9.44698840189694e-158
75,A Stage,differentiate,10.56250707584562,0.014342815796304626
76,A Stage,Grade,10.56250707584562,0.014342815796304626
77,A Stage,Estrogen Status,15.5462142414422,8.051271084732265e-05
78,A Stage,Progesterone Status,2.3635099581953,0.1242024546040469
79,A Stage,Status,35.795767995503475,2.1912335809494684e-09
80,Estrogen Status,Race,13.335971010855928,0.0012709565088359627
81,Estrogen Status,Marital Status,7.647598557084809,0.10537420270955086
82,Estrogen Status,T Stage ,19.987000948446806,0.0001707986044446413
83,Estrogen Status,N Stage,42.748359393147936,5.215689181260114e-10
84,Estrogen Status,6th Stage,52.53833861605162,1.0644288418360429e-10
85,Estrogen Status,differentiate,217.2627871652343,7.841574189425369e-47
86,Estrogen Status,Grade,217.2627871652343,7.841574189425369e-47
87,Estrogen Status,A Stage,15.5462142414422,8.051271084732265e-05
88,Estrogen Status,Progesterone Status,1053.2735977183786,4.7293602480152245e-231
89,Estrogen Status,Status,135.27405735059824,2.8760158482449726e-31
90,Progesterone Status,Race,4.9823955064955685,0.08281072034154785
91,Progesterone Status,Marital Status,10.996050692576919,0.02660843499410895
92,Progesterone Status,T Stage ,14.357154454278477,0.0024571958945877087
93,Progesterone Status,N Stage,37.16282400813629,8.515208779831682e-09
94,Progesterone Status,6th Stage,42.94575697007045,1.0619548846101615e-08
95,Progesterone Status,differentiate,147.64315612219517,8.494834488444462e-32
96,Progesterone Status,Grade,147.64315612219517,8.494834488444462e-32
97,Progesterone Status,A Stage,2.3635099581953,0.1242024546040469
98,Progesterone Status,Estrogen Status,1053.2735977183784,4.7293602480157646e-231
99,Progesterone Status,Status,125.06241481430875,4.931880400703647e-29
100,Status,Race,27.99252486135466,8.346424305665017e-07
101,Status,Marital Status,28.472543610168536,1.000332603305019e-05
102,Status,T Stage ,104.26871719343079,1.8769799757802575e-22
103,Status,N Stage,267.7109594969028,7.367222269401554e-59
104,Status,6th Stage,279.8286637060895,2.426235220111066e-59
105,Status,differentiate,111.26296611390617,5.868421137616757e-24
106,Status,Grade,111.26296611390617,5.868421137616757e-24
107,Status,A Stage,35.795767995503475,2.1912335809494684e-09
108,Status,Estrogen Status,135.27405735059824,2.8760158482449726e-31
109,Status,Progesterone Status,125.06241481430875,4.931880400703647e-29
